id,departure_iata,arrival_iata,departure_date,arrival_date,price,currency_code,flight_number,flight_key,flight_search_url
30,STN,MLA,2023-06-10T10:50:00,2023-06-10T15:00:00,3624.7459999999996,CZK,FR8853,FR~8853~ ~~STN~06/10/2023 10:50~MLA~06/10/2023 15:00~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-10&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=MLA&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-10&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
31,STN,BTS,2023-06-11T08:25:00,2023-06-11T11:35:00,1398.222,CZK,FR2314,FR~2314~ ~~STN~06/11/2023 08:25~BTS~06/11/2023 11:35~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-11&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=BTS&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
32,STN,CPH,2023-06-11T06:30:00,2023-06-11T09:15:00,1476.0379999999998,CZK,FR2618,FR~2618~ ~~STN~06/11/2023 06:30~CPH~06/11/2023 09:15~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-11&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=CPH&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
33,STN,BOD,2023-06-11T18:40:00,2023-06-11T21:20:00,1493.026,CZK,FR1782,FR~1782~ ~~STN~06/11/2023 18:40~BOD~06/11/2023 21:20~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-11&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=BOD&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
34,STN,BGY,2023-06-11T08:15:00,2023-06-11T11:10:00,1554.676,CZK,FR2696,FR~2696~ ~~STN~06/11/2023 08:15~BGY~06/11/2023 11:10~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-11&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=BGY&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
35,STN,NCE,2023-06-11T17:10:00,2023-06-11T20:25:00,1580.158,CZK,FR1874,FR~1874~ ~~STN~06/11/2023 17:10~NCE~06/11/2023 20:25~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-11&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=NCE&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
36,STN,PRG,2023-06-11T14:25:00,2023-06-11T17:15:00,2578.614,CZK,FR1374,FR~1374~ ~~STN~06/11/2023 14:25~PRG~06/11/2023 17:15~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-11&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=PRG&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
37,STN,LIS,2023-06-11T17:30:00,2023-06-11T20:20:00,2958.926,CZK,FR1886,FR~1886~ ~~STN~06/11/2023 17:30~LIS~06/11/2023 20:20~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-11&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=LIS&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
38,STN,OPO,2023-06-11T15:50:00,2023-06-11T18:15:00,3047.9759999999997,CZK,FR1275,FR~1275~ ~~STN~06/11/2023 15:50~OPO~06/11/2023 18:15~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-11&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=OPO&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
39,STN,BRQ,2023-06-11T16:15:00,2023-06-11T19:20:00,3095.9259999999995,CZK,FR2477,FR~2477~ ~~STN~06/11/2023 16:15~BRQ~06/11/2023 19:20~~,https://www.ryanair.com/cz/cs/trip/flights/select?adults=2&teens=0&children=0&infants=0&dateOut=2023-06-11&dateIn=&isConnectedFlight=false&isReturn=false&discount=0&promoCode=&originIata=STN&destinationIata=BRQ&tpAdults=2&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2023-06-11&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN
